Nom;Prenom;Adresse;Ville;CodePostal;Tel1;Tel2;Tel3
PERREAULT;JULIE;12 GUINDON;MONTREAL;H2K3J6;514-894-1055;450-894-2055;514-894-3055
BOUDREAU;ARTHUR;10265 FERRON;MONTREAL;H5J8G4;514-894-1056;450-894-2056;514-894-3056
LEMIEUX;MARC;4356 LACHANCE;LONGUEUIL;J3D5G7;514-894-1057;450-894-2057;514-894-3057
SAVARD;DANIELLE;1258 QUESNEL;VERDUN;H8U4F6;514-894-1058;450-894-2058;514-894-3058
PERRON;BENOIT;4355 VERONNEAU;LONGUEUIL;J2A9F3;514-894-1059;450-894-2059;514-894-3059
DUFOUR;MARIE;2345 ST-MARTIN;BOUCHEVILLE;J7S3D3;514-894-1060;450-894-2060;514-894-3060
DION;DANIEL;3323 NGUYEN;MONTREAL;H5J8G4;514-894-1061;450-894-2061;514-894-3061
MERCIER;NICOLAS;11259 HARVEY;MONTREAL;H4B6F2;514-894-1062;450-894-2062;514-894-3062
BOLDUC;GUILLAUME;4430 THIBEAULT;LAVAL;J5J8G4;514-894-1063;450-894-2063;514-894-3063
GRONDIN;JONATAN;11260 TREPANIER;MONTREAL;H1M50P;514-894-1064;450-894-2064;514-894-3064
BOISVERT;PHILIPPE;4361 AUTEUIL;MONTREAL;H1S6J8;514-894-1065;450-894-2065;514-894-3065
LANGLOIS;JEAN-PIERRE;4428 GAUTHIER;MONTREAL;H9G2G5;514-894-1066;450-894-2066;514-894-3066
LAFLEUR;BENOIT;3327 MERZIUS;MONTREAL;H6R6L2;514-894-1067;450-894-2067;514-894-3067
THERRIEN;MARIE;1424 PIOGER;MONTREAL;H6B4E2;514-894-1068;450-894-2068;514-894-3068
PLANTE;DANIEL;1429 HUARD;LAVAL;J4M50P;514-894-1069;450-894-2069;514-894-3069
BILODEAU;NICOLAS;3320 KALOMBO;LAVAL;J7N5G6;514-894-1070;450-894-2070;514-894-3070
BLANCHETTE;GUILLAUME;3321 KHALIL;LAVAL;H1U7F7;514-894-1071;450-894-2071;514-894-3071
DUBOIS;JONATAN;4356 LACHANCE;LONGUEUIL;J9H2N7;514-894-1072;450-894-2072;514-894-3072
CHAMPAGNE;PHILIPPE;4358 VILLA;LONGUEUIL;J2F7H2;514-894-1073;450-894-2073;514-894-3073
PARADIS;JEAN-PIERRE;1427 MORSE;MONTREAL;H2F4V6;514-894-1074;450-894-2074;514-894-3074
FORTIER;SOPHIE;122 RATELLE;LONGUEUIL;J2S3D2;514-894-1075;450-894-2075;514-894-3075
MESSIER;MARC;145 GAUVIN;LAVAL;G4H3H2;514-894-1076;450-894-2076;514-894-3076
NANTEL;ALAIN;256 LAFLEUR;VAUDREUIL;J5J8G4;514-894-1077;450-894-2077;514-894-3077
OUELLET;MARTIN;4589 ST-MARTIN;LAVAL;H1M50P;514-894-1078;450-894-2078;514-894-3078
POITRAS;SIMONE;987 SHERBROOKE;MONTREAL;H1S6J8;514-894-1079;450-894-2079;514-894-3079
